🚀 Geocodificando TODAS las colonias de Comitán con Mapbox...
📋 Asignando zonas automáticamente según el tabulador maestro
=================================================================
📌 Total a procesar: 255 colonias (169 del padrón + 86 de tu lista)

  🔴 [140/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [141/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [142/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [143/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [144/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [145/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [146/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [147/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [148/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [149/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [150/255] Pueblo → ROJO $45 | 16.23374,-92.14553
  🔴 [151/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [152/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [153/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [154/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [155/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [156/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [157/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [158/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [159/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [160/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [161/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [162/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [163/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [164/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [165/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [166/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [167/255] Ranchería → ROJO $45 | 16.25058,-92.13736
  🔴 [168/255] Unidad habitacional → ROJO $45 | 16.25058,-92.13736
  🔴 [169/255] Zona federal → ROJO $45 | 16.21451,-92.13824
  🟢 [170/255] Centro → VERDE $45 | 16.25058,-92.13736
  🟢 [171/255] San Sebastian → VERDE $45 | 16.23871,-92.11651
  🟢 [172/255] San Agustin → VERDE $45 | 16.23819,-92.15387
  🟢 [173/255] Puente Hidalgo → VERDE $45 | 16.22884,-92.13345
  🟢 [174/255] Belisario → VERDE $45 | 16.25058,-92.13736
  🟢 [175/255] Barrio El 25 → VERDE $45 | 16.25011,-92.12159
  🟢 [176/255] Pila → VERDE $45 | 16.25058,-92.13736
  🟢 [177/255] Pilita → VERDE $45 | 16.25058,-92.13736
  🟢 [178/255] San Jose → VERDE $45 | 16.23686,-92.13314
  🟢 [179/255] Jesusito → VERDE $45 | 16.23215,-92.12244
  🟢 [180/255] Candelaria → VERDE $45 | 16.24819,-92.14435
  🟢 [181/255] Infonavit → VERDE $45 | 16.25058,-92.13736
  🟢 [182/255] Guadalupe → VERDE $45 | 16.23369,-92.14222
  🟢 [183/255] Las Flores → VERDE $45 | 16.23971,-92.14969
  🟢 [184/255] Fovisste → VERDE $45 | 16.25058,-92.13736
  🟢 [185/255] Santa Ana → VERDE $45 | 16.25058,-92.13736
  🟢 [186/255] 28 De Agosto → VERDE $45 | 16.23976,-92.15944
  🟢 [187/255] La Popular → VERDE $45 | 16.25058,-92.13736
  🟢 [188/255] Monte Verde → VERDE $45 | 16.22967,-92.14508
  🟢 [189/255] Microondas → VERDE $45 | 16.24664,-92.12713
  🟢 [190/255] La Pileta → VERDE $45 | 16.24495,-92.13292
  🟢 [191/255] Magueyes → VERDE $45 | 16.23215,-92.12244
  🟢 [192/255] Yalchivol → VERDE $45 | 16.23532,-92.15689
  🟢 [193/255] Maya → VERDE $45 | 16.25058,-92.13736
  🟢 [194/255] Los Pinos → VERDE $45 | 16.24076,-92.13101
  🟢 [195/255] Arenal → VERDE $45 | 16.25058,-92.13736
  🟢 [196/255] Terrazas → VERDE $45 | 16.25058,-92.13736
  🟢 [197/255] El Rosario → VERDE $45 | 16.24309,-92.11897
  🟢 [198/255] 1Ro De Mayo → VERDE $45 | 16.23235,-92.12596
  🟢 [199/255] Primero De Mayo → VERDE $45 | 16.23235,-92.12596
  🟢 [200/255] Latino Americana → VERDE $45 | 16.25058,-92.13736
  🟢 [201/255] Orquideas → VERDE $45 | 16.25058,-92.13736
  🟢 [202/255] El Herraje → VERDE $45 | 16.25058,-92.13736
  🟢 [203/255] Esmeralda → VERDE $45 | 16.26446,-92.13652
  🟢 [204/255] Luis Donaldo Colosio → VERDE $45 | 16.25058,-92.13736
  🟢 [205/255] Colosio → VERDE $45 | 16.25058,-92.13736
  🟢 [206/255] Bellavista → VERDE $45 | 16.25058,-92.13736
  🟢 [207/255] Bella Vista → VERDE $45 | 16.25058,-92.13736
  🟢 [208/255] Siete Esquinas → VERDE $45 | 16.25058,-92.13736
  🟢 [209/255] Nicalokock → VERDE $45 | 16.25058,-92.13736
  🟢 [210/255] Los Lagos → VERDE $45 | 16.25058,-92.13736
  🟢 [211/255] 9 Estrellas → VERDE $45 | 16.25058,-92.13736
  🟢 [212/255] Nueve Estrellas → VERDE $45 | 16.25058,-92.13736
  🔵 [213/255] Cruz Grande → AZUL $50 | 16.23856,-92.11639
