Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"Unidad habitacional",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Valle Balún Canan",16.2253177,-92.1388864,2.82,50,"Valle Balun Canan","Comitán de Domínguez","✅ OK"
"Valle de Sabines Guerrero",16.2276135,-92.1374638,2.56,50,"Valle Balun Canan","Comitán de Domínguez","✅ OK"
"Vicente Fox",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Villahermosa Yalumá",16.3374724,-92.0806347,11.40,70,"N/A","Santiago","❌ FUERA_DE_COMITAN"
"Yajalon",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Yalchivol",16.2401899,-92.1217041,2.04,50,"Yalchivol","Comitán de Domínguez","✅ OK"
"YALCHIVOL",16.235321,-92.156889,2.69,50,"Tenam","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Yaltzi 3 Lagunas",16.2975851,-92.2593466,14.03,70,"N/A","Yaltzi Tres Lagunas","❌ FUERA_DE_COMITAN"
"Zaragoza La Montaña",16.4166699,-92.2052799,19.84,70,"N/A","Zaragoza la Montaña","❌ FUERA_DE_COMITAN"
"Zona federal",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Zona Militar 15 Regimiento",16.2132673,-92.1312149,4.20,60,"Chichima Concepción","Comitán de Domínguez","⚠️  SOSPECHOSA"
